display  I           wgl_disp.c:223  display_pixel_format             [   0.33112] Sample buffers: no
display  I           wgl_disp.c:224  display_pixel_format             [   0.33114] Samples: 0
display  D   display_settings.c:214  debug_display_settings           [   0.33115] color: 32 (rgba 8888), depth: 0, stencil: 0, acc: 16161616, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.33119] Score is : 1921
display  I           wgl_disp.c:741  get_available_pixel_formats_ext  [   0.33121] -- 
display  I           wgl_disp.c:742  get_available_pixel_formats_ext  [   0.33122] Decoding visual no. 15...
display  I           wgl_disp.c:306  decode_pixel_format_attrib       [   0.33134] Decoding:
display  I           wgl_disp.c:210  display_pixel_format             [   0.33136] Accelerated: yes
display  I           wgl_disp.c:211  display_pixel_format             [   0.33138] Single-buffer: no
display  I           wgl_disp.c:213  display_pixel_format             [   0.33139] Swap method: flip
display  I           wgl_disp.c:216  display_pixel_format             [   0.33141] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:222  display_pixel_format             [   0.33143] Depth buffer: 0 bits
display  I           wgl_disp.c:223  display_pixel_format             [   0.33144] Sample buffers: no
display  I           wgl_disp.c:224  display_pixel_format             [   0.33146] Samples: 0
display  D   display_settings.c:214  debug_display_settings           [   0.33147] color: 32 (rgba 8880), depth: 0, stencil: 8, acc: 16161616, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.33149] Score is : 1921
display  I           wgl_disp.c:741  get_available_pixel_formats_ext  [   0.33151] -- 
display  I           wgl_disp.c:742  get_available_pixel_formats_ext  [   0.33153] Decoding visual no. 16...
display  I           wgl_disp.c:306  decode_pixel_format_attrib       [   0.33167] Decoding:
display  I           wgl_disp.c:210  display_pixel_format             [   0.33170] Accelerated: yes
display  I           wgl_disp.c:211  display_pixel_format             [   0.33171] Single-buffer: no
display  I           wgl_disp.c:213  display_pixel_format             [   0.33172] Swap method: flip
display  I           wgl_disp.c:216  display_pixel_format             [   0.33173] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:222  display_pixel_format             [   0.33174] Depth buffer: 0 bits
display  I           wgl_disp.c:223  display_pixel_format             [   0.33176] Sample buffers: no
display  I           wgl_disp.c:224  display_pixel_format             [   0.33177] Samples: 0
display  D   display_settings.c:214  debug_display_settings           [   0.33178] color: 32 (rgba 8888), depth: 0, stencil: 8, acc: 16161616, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.33180] Score is : 1921
display  I           wgl_disp.c:741  get_available_pixel_formats_ext  [   0.33181] -- 
display  I           wgl_disp.c:742  get_available_pixel_formats_ext  [   0.33182] Decoding visual no. 17...
display  I           wgl_disp.c:306  decode_pixel_format_attrib       [   0.33198] Decoding:
display  I           wgl_disp.c:210  display_pixel_format             [   0.33200] Accelerated: yes
display  I           wgl_disp.c:211  display_pixel_format             [   0.33201] Single-buffer: no
display  I           wgl_disp.c:213  display_pixel_format             [   0.33202] Swap method: copy
display  I           wgl_disp.c:216  display_pixel_format             [   0.33203] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:222  display_pixel_format             [   0.33205] Depth buffer: 24 bits
display  I           wgl_disp.c:223  display_pixel_format             [   0.33206] Sample buffers: no
display  I           wgl_disp.c:224  display_pixel_format             [   0.33207] Samples: 0
display  D   display_settings.c:214  debug_display_settings           [   0.33208] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 16161616, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.33210] Score is : 1921
display  I           wgl_disp.c:741  get_available_pixel_formats_ext  [   0.33211] -- 
display  I           wgl_disp.c:742  get_available_pixel_formats_ext  [   0.33212] Decoding visual no. 18...
display  I           wgl_disp.c:306  decode_pixel_format_attrib       [   0.33220] Decoding:
display  I           wgl_disp.c:210  display_pixel_format             [   0.33222] Accelerated: yes
display  I           wgl_disp.c:211  display_pixel_format             [   0.33223] Single-buffer: no
display  I           wgl_disp.c:213  display_pixel_format             [   0.33225] Swap method: copy
display  I           wgl_disp.c:216  display_pixel_format             [   0.33226] Color format: r8 g8 b8 a8, 32 bit
